sex,x,log_mx_std
Total,82.5,-2.73750563655167
Total,83.5,-2.61691255247998
Total,84.5,-2.49364952299668
Total,85.5,-2.37562649798124
Total,86.5,-2.26737250633874
Total,87.5,-2.16732362692611
Total,88.5,-2.06889107599791
Total,89.5,-1.96466987673679
Total,90.5,-1.8511935808598
Total,91.5,-1.73130217390108
Total,92.5,-1.61267018797092
Total,93.5,-1.50341143328168
Total,94.5,-1.40746235695855
Total,95.5,-1.32254909214342
Total,96.5,-1.24191825479436
Total,97.5,-1.15868473873472
Total,98.5,-1.07007127644934
Total,99.5,-0.978952230112647
Total,100.5,-0.893649410254445
Total,101.5,-0.819551766939306
Total,102.5,-0.754609070532577
Total,103.5,-0.69384041768251
Total,104.5,-0.633851232268489
Total,105.5,-0.574853607017343
Total,106.5,-0.521288862185192
Total,107.5,-0.471613953275626
Total,108.5,-0.425722894751943
Total,109.5,-0.383484884493774
